Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alex,2021-09-23 19:57:13,00:00:25,,Mowgli: Legend of the Jungle,,Sony CE Sony CE 2014 Core DTV Smart TV,00:00:25,00:00:25,NZ (New Zealand)
Alex,2021-09-23 19:37:11,00:17:52,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,01:22:37,Not latest view,NZ (New Zealand)
Alex,2021-09-23 05:00:22,00:22:47,,Battlebots: Season 2: Rise of the Machines: The Round of 16 Part 2 (Episode 9),,HiSilicon HiMediaDishSV10 Set Top Box,00:22:47,Not latest view,NZ (New Zealand)
Alex,2021-09-23 04:45:49,00:13:14,,Battlebots: Season 2: Not So Sweet 16: The Round of 16 Part 1 (Episode 8),,HiSilicon HiMediaDishSV10 Set Top Box,00:45:23,00:45:23,NZ (New Zealand)
Alex,2021-09-23 03:31:09,00:32:09,Autoplayed: user action: User_Interaction; ,Battlebots: Season 2: Not So Sweet 16: The Round of 16 Part 1 (Episode 8),,HiSilicon HiMediaDishSV10 Set Top Box,00:32:09,Not latest view,NZ (New Zealand)
Alex,2021-09-23 03:22:12,00:08:35,,"Battlebots: Season 2: The Good, The Bot, and The Ugly: The Round of 32 Concludes (Episode 7)",,HiSilicon HiMediaDishSV10 Set Top Box,00:45:45,00:45:45,NZ (New Zealand)
Alex,2021-09-18 20:31:38,00:11:04,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,01:04:11,Not latest view,NZ (New Zealand)
Alex,2021-09-18 05:01:41,00:37:09,Autoplayed: user action: User_Interaction; ,"Battlebots: Season 2: The Good, The Bot, and The Ugly: The Round of 32 Concludes (Episode 7)",,HiSilicon HiMediaDishSV10 Set Top Box,00:37:10,Not latest view,NZ (New Zealand)
Alex,2021-09-18 04:12:40,00:45:55,,"Battlebots: Season 2: Shake, Battle, and Roll: The Round of 32 Part 2 (Episode 6)",,HiSilicon HiMediaDishSV10 Set Top Box,00:45:56,00:45:56,NZ (New Zealand)
Alex,2021-09-18 03:19:22,00:45:29,Autoplayed: user action: User_Interaction; ,Battlebots: Season 2: We’re Gonna Need a Bigger Bracket: The Round of 32 Part 1 (Episode 5),,HiSilicon HiMediaDishSV10 Set Top Box,00:45:30,00:45:30,NZ (New Zealand)
Alex,2021-09-18 02:33:21,00:45:56,,Battlebots: Season 2: There Will Be Bot Blood: The Qualifying Round Concludes (Episode 4),,HiSilicon HiMediaDishSV10 Set Top Box,00:45:56,00:45:56,NZ (New Zealand)
Alex,2021-09-17 20:54:55,00:05:58,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,00:53:09,Not latest view,NZ (New Zealand)
Alex,2021-09-17 04:25:38,00:45:51,,Battlebots: Season 2: Robots Activate: The Qualifying Round Part 2 (Episode 3),,HiSilicon HiMediaDishSV10 Set Top Box,00:45:51,00:45:51,NZ (New Zealand)
Alex,2021-09-17 03:44:57,00:32:33,,Battlebots: Season 2: Robots Activate: The Qualifying Round Part 1 (Episode 2),,HiSilicon HiMediaDishSV10 Set Top Box,00:46:24,00:46:24,NZ (New Zealand)
Alex,2021-09-16 19:42:49,00:47:12,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,00:47:12,Not latest view,NZ (New Zealand)
Alex,2021-09-16 19:32:46,00:01:53,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,01:41:22,Not latest view,NZ (New Zealand)
Alex,2021-09-11 19:19:38,01:10:21,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,01:23:58,Not latest view,NZ (New Zealand)
Alex,2021-09-10 20:15:31,00:13:37,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,00:13:37,Not latest view,NZ (New Zealand)
Alex,2021-09-10 19:52:18,00:21:06,,Teen Titans Go!: Season 1: Real Magic / Puppets Whaaaaat? (Episode 26),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:25,00:21:25,NZ (New Zealand)
Alex,2021-09-10 19:41:07,00:11:02,,Teen Titans Go!: Season 1: Colors of Raven / The Left Leg (Episode 13),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:27,00:21:27,NZ (New Zealand)
Alex,2021-09-10 06:19:03,00:13:51,,Battlebots: Season 2: Robots Activate: The Qualifying Round Part 1 (Episode 2),,HiSilicon HiMediaDishSV10 Set Top Box,00:13:51,Not latest view,NZ (New Zealand)
Alex,2021-09-10 05:15:16,00:43:51,Autoplayed: user action: User_Interaction; ,Battlebots: Season 2: The Gears Awaken (Episode 1),,HiSilicon HiMediaDishSV10 Set Top Box,00:46:06,00:46:06,NZ (New Zealand)
Alex,2021-09-10 04:34:05,00:40:53,,Battlebots: Season 1: One Bot Rules Them All: The Championship (Episode 6),,HiSilicon HiMediaDishSV10 Set Top Box,00:40:53,00:40:53,NZ (New Zealand)
Alex,2021-09-10 03:53:02,00:40:52,,Battlebots: Season 1: The Great 8: Quarterfinals (Episode 5),,HiSilicon HiMediaDishSV10 Set Top Box,00:41:39,00:41:39,NZ (New Zealand)
Alex,2021-09-10 03:06:29,00:40:39,,"Battlebots: Season 1: Last Chance to Advance: Round of 16, Part 2 (Episode 4)",,HiSilicon HiMediaDishSV10 Set Top Box,00:40:40,00:40:40,NZ (New Zealand)
Alex,2021-09-10 03:04:35,00:01:45,,"Battlebots: Season 1: Full Metal Bracket: Round of 16, Part 1 (Episode 3)",,HiSilicon HiMediaDishSV10 Set Top Box,00:42:04,00:42:04,NZ (New Zealand)
Alex,2021-09-09 20:31:02,00:09:53,,Teen Titans Go!: Season 1: Colors of Raven / The Left Leg (Episode 13),,Sony CE Sony CE 2014 Core DTV Smart TV,00:10:26,Not latest view,NZ (New Zealand)
Alex,2021-09-09 20:10:51,00:19:57,,Teen Titans Go!: Season 1: Girls' Night Out / You're Fired (Episode 7),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:36,00:21:36,NZ (New Zealand)
Alex,2021-09-09 19:49:38,00:21:05,,Teen Titans Go!: Season 1: Hey Pizza! / Gorilla (Episode 6),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:23,00:21:23,NZ (New Zealand)
Alex,2021-09-09 19:32:12,00:17:04,,Teen Titans Go!: Season 1: Ghost Boy / La Larva de Amor (Episode 5),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:37,00:21:37,NZ (New Zealand)
Alex,2021-09-09 19:28:56,00:02:58,,Teen Titans Go!: Season 1: Dude Relax! / Laundry Day (Episode 4),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:23,00:21:23,NZ (New Zealand)
Alex,2021-09-09 03:42:22,00:39:47,Autoplayed: user action: User_Interaction; ,"Battlebots: Season 1: Full Metal Bracket: Round of 16, Part 1 (Episode 3)",,HiSilicon HiMediaDishSV10 Set Top Box,00:39:47,Not latest view,NZ (New Zealand)
Alex,2021-09-09 03:37:37,00:04:40,,Battlebots: Season 1: Crunch Time: Qualifiers Round 2 (Episode 2),,HiSilicon HiMediaDishSV10 Set Top Box,00:41:18,00:41:18,NZ (New Zealand)
Alex,2021-09-05 02:01:29,00:32:16,,Battlebots: Season 1: Crunch Time: Qualifiers Round 2 (Episode 2),,HiSilicon HiMediaDishSV10 Set Top Box,00:36:42,Not latest view,NZ (New Zealand)
Alex,2021-09-05 01:21:31,00:39:49,,Battlebots: Season 1: Series Premiere: Qualifiers (Episode 1),,HiSilicon HiMediaDishSV10 Set Top Box,00:40:04,00:40:04,NZ (New Zealand)
Alex,2021-09-04 20:22:40,00:07:04,,Teen Titans Go!: Season 1: Dude Relax! / Laundry Day (Episode 4),,Sony CE Sony CE 2014 Core DTV Smart TV,00:18:26,Not latest view,NZ (New Zealand)
Alex,2021-09-04 20:17:29,00:03:00,,Teen Titans Go!: Season 1: Dude Relax! / Laundry Day (Episode 4),,Sony CE Sony CE 2014 Core DTV Smart TV,00:06:29,Not latest view,NZ (New Zealand)
Alex,2021-09-04 20:02:12,00:14:57,,Teen Titans Go!: Season 1: Double Trouble / The Date (Episode 3),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:24,00:21:24,NZ (New Zealand)
Alex,2021-09-04 19:42:30,00:19:26,,Teen Titans Go!: Season 2: Let's Get Serious / Tamaranian Vacation (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:43,00:21:43,NZ (New Zealand)
Alex,2021-09-04 19:25:29,00:16:52,,Teen Titans Go!: Season 3: Crazy Desire Island / The Cape (Episode 26),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:26,00:21:26,NZ (New Zealand)
Alex,2021-09-04 06:30:33,00:19:15,,Coming to America,,HiSilicon HiMediaDishSV10 Set Top Box,01:50:57,01:50:57,NZ (New Zealand)
Alex,2021-09-04 05:02:20,00:36:02,,Coming to America,,HiSilicon HiMediaDishSV10 Set Top Box,01:31:50,Not latest view,NZ (New Zealand)
Alex,2021-09-04 04:03:32,00:57:30,,The Karate Kid,,HiSilicon HiMediaDishSV10 Set Top Box,02:03:12,02:03:12,NZ (New Zealand)
Alex,2021-09-03 20:55:34,00:03:58,,Teen Titans Go!: Season 3: Crazy Desire Island / The Cape (Episode 26),,Sony CE Sony CE 2014 Core DTV Smart TV,00:04:36,Not latest view,NZ (New Zealand)
Alex,2021-09-03 20:42:29,00:12:48,,Teen Titans Go!: Season 3: The Overbite / The Titans Show (Episode 25),,Sony CE Sony CE 2014 Core DTV Smart TV,00:19:51,00:19:51,NZ (New Zealand)
Alex,2021-09-03 20:22:43,00:19:40,,Teen Titans Go!: Season 3: Open Door Policy / Pure Protein (Episode 24),,Sony CE Sony CE 2014 Core DTV Smart TV,00:19:40,00:19:40,NZ (New Zealand)
Alex,2021-09-03 20:02:52,00:19:42,,Teen Titans Go!: Season 3: Riding the Dragon / Coconut Cream Pie (Episode 23),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:00,00:20:00,NZ (New Zealand)
Alex,2021-09-03 19:41:32,00:21:12,,Teen Titans Go!: Season 3: Snuggle Time / Oh Yeah! (Episode 22),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:30,00:21:30,NZ (New Zealand)
Alex,2021-09-03 19:35:54,00:05:29,,Teen Titans Go!: Season 3: Who’s Laughing Now / Oregon Trail (Episode 21),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:49,00:20:49,NZ (New Zealand)
Alex,2021-09-03 08:27:51,00:27:59,,Coming to America,,HiSilicon HiMediaDishSV10 Set Top Box,00:55:50,Not latest view,NZ (New Zealand)
Alex,2021-09-02 19:28:50,00:15:03,,Teen Titans Go!: Season 3: Who’s Laughing Now / Oregon Trail (Episode 21),,Sony CE Sony CE 2014 Core DTV Smart TV,00:15:21,Not latest view,NZ (New Zealand)
Alex,2021-09-02 19:20:23,00:08:17,,Teen Titans Go!: Season 3: Operation Dude Rescue: Part 1 / Operation Dude Rescue: Part 2 (Episode 20),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:10,00:21:10,NZ (New Zealand)
Alex,2021-09-02 07:23:35,01:05:44,,The Karate Kid,,HiSilicon HiMediaDishSV10 Set Top Box,01:05:44,Not latest view,NZ (New Zealand)
Alex,2021-09-02 07:21:30,00:00:04,,GODZILLA The Planet Eater (Trailer),TRAILER,HiSilicon HiMediaDishSV10 Set Top Box,00:00:04,00:00:04,NZ (New Zealand)
Alex,2021-09-02 07:17:34,00:03:43,,GODZILLA The Planet Eater,,HiSilicon HiMediaDishSV10 Set Top Box,00:03:43,00:03:43,NZ (New Zealand)
Alex,2021-08-28 20:17:50,00:11:18,,Teen Titans Go!: Season 3: Operation Dude Rescue: Part 1 / Operation Dude Rescue: Part 2 (Episode 20),,Sony CE Sony CE 2014 Core DTV Smart TV,00:12:43,Not latest view,NZ (New Zealand)
Alex,2021-08-28 20:17:50,00:11:29,,Teen Titans Go!: Season 3: Operation Dude Rescue: Part 1 / Operation Dude Rescue: Part 2 (Episode 20),,Sony CE Sony CE 2014 Core DTV Smart TV,00:12:54,Not latest view,NZ (New Zealand)
Alex,2021-08-28 20:05:59,00:11:07,,Teen Titans Go!: Season 3: Think About Your Future / Booty Scooty (Episode 19),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:56,00:20:56,NZ (New Zealand)
Alex,2021-08-28 19:44:58,00:20:49,,Teen Titans Go!: Season 3: History Lesson / The Art of Ninjutsu (Episode 18),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:19,00:21:19,NZ (New Zealand)
Alex,2021-08-28 19:26:34,00:18:14,,Teen Titans Go!: Season 3: The Teen Titans Go Easter Holiday Classic / Rad Dudes with Bad Tudes (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:16,00:21:16,NZ (New Zealand)
Alex,2021-08-28 03:55:43,00:28:02,,Coming to America,,HiSilicon HiMediaDishSV10 Set Top Box,00:28:02,Not latest view,NZ (New Zealand)
Alex,2021-08-28 00:31:45,00:49:47,,Apollo 13,,HiSilicon HiMediaDishSV10 Set Top Box,02:14:14,02:14:14,NZ (New Zealand)
Alex,2021-08-27 20:27:17,00:02:46,,Teen Titans Go!: Season 3: The Teen Titans Go Easter Holiday Classic / Rad Dudes with Bad Tudes (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:03:04,Not latest view,NZ (New Zealand)
Alex,2021-08-27 20:08:13,00:18:47,,Teen Titans Go!: Season 3: Batman v Teen Titans: Dark Injustice / Wally T (Episode 16),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:00,00:21:00,NZ (New Zealand)
Alex,2021-08-27 19:51:33,00:16:07,,Teen Titans Go!: Season 3: Arms Race with Legs / Obinray (Episode 15),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:37,00:21:37,NZ (New Zealand)
Alex,2021-08-27 19:32:57,00:18:17,,Teen Titans Go!: Season 3: Pyramid Scheme / Finally a Lesson (Episode 14),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:47,00:21:47,NZ (New Zealand)
Alex,2021-08-27 19:25:27,00:06:26,,Teen Titans Go!: Season 3: How 'Bout Some Effort / Bottle Episode,,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:21,00:20:21,NZ (New Zealand)
Alex,2021-08-27 07:01:13,01:24:30,,Apollo 13,,HiSilicon HiMediaDishSV10 Set Top Box,01:24:31,Not latest view,NZ (New Zealand)
Alex,2021-08-26 19:58:06,00:00:12,,Teen Titans Go!: Season 3: How 'Bout Some Effort / Bottle Episode,,Sony CE Sony CE 2014 Core DTV Smart TV,00:00:30,Not latest view,NZ (New Zealand)
Alex,2021-08-26 19:42:42,00:14:54,,Teen Titans Go!: Season 3: Secret Garden / The Cruel Giggling Ghoul (Episode 12),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:54,00:21:54,NZ (New Zealand)
Alex,2021-08-26 19:35:28,00:07:04,,Teen Titans Go!: Season 3: Garage Sale / Beast Boy's St. Patrick's Day Luck and It's Bad (Episode 11),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:35,00:21:35,NZ (New Zealand)
Alex,2021-08-23 03:36:23,01:34:08,,Spy Kids 2: The Island of Lost Dreams,,HiSilicon HiMediaDishSV10 Set Top Box,01:34:08,01:34:08,NZ (New Zealand)
Alex,2021-08-22 19:26:23,00:14:14,,Teen Titans Go!: Season 3: Garage Sale / Beast Boy's St. Patrick's Day Luck and It's Bad (Episode 11),,Sony CE Sony CE 2014 Core DTV Smart TV,00:14:32,Not latest view,NZ (New Zealand)
Alex,2021-08-22 19:22:30,00:03:33,,Teen Titans Go!: Season 3: Two Parter: Part 2 / The True Meaning of Christmas (Episode 10),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:09,00:21:09,NZ (New Zealand)
Alex,2021-08-21 20:12:22,00:17:19,,Teen Titans Go!: Season 3: Two Parter: Part 2 / The True Meaning of Christmas (Episode 10),,Sony CE Sony CE 2014 Core DTV Smart TV,00:17:37,Not latest view,NZ (New Zealand)
Alex,2021-08-21 19:55:58,00:16:16,,Teen Titans Go!: Season 3: Squash & Stretch / Two Parter: Part 1 (Episode 9),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:12,00:20:12,NZ (New Zealand)
Alex,2021-08-21 19:42:11,00:03:39,,Teen Titans Go!: Season 3: Squash & Stretch / Two Parter: Part 1 (Episode 9),,Sony CE Sony CE 2014 Core DTV Smart TV,00:03:57,Not latest view,NZ (New Zealand)
Alex,2021-08-21 19:21:36,00:20:26,,Teen Titans Go!: Season 4: Flashback: Part 1 / Flashback: Part 2 (Episode 26),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:39,00:20:39,NZ (New Zealand)
Alex,2021-08-20 20:34:44,00:18:53,,Teen Titans Go!: Season 4: TV Knight 3 / Bro-pocalypse (Episode 25),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:21,00:20:21,NZ (New Zealand)
Alex,2021-08-20 20:25:39,00:01:11,,Teen Titans Go!: Season 4: TV Knight 3 / Bro-pocalypse (Episode 25),,Sony CE Sony CE 2014 Core DTV Smart TV,00:01:29,Not latest view,NZ (New Zealand)
Alex,2021-08-20 20:20:26,00:05:01,,Teen Titans Go!: Season 4: Mo’ Money Mo’ Problems / Beast Girl (Episode 24),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:32,00:20:32,NZ (New Zealand)
Alex,2021-08-20 20:13:27,00:02:49,,Teen Titans Go!: Season 4: Mo’ Money Mo’ Problems / Beast Girl (Episode 24),,Sony CE Sony CE 2014 Core DTV Smart TV,00:15:32,Not latest view,NZ (New Zealand)
Alex,2021-08-20 19:57:34,00:10:50,,Teen Titans Go!: Season 4: Mo’ Money Mo’ Problems / Beast Girl (Episode 24),,Sony CE Sony CE 2014 Core DTV Smart TV,00:12:43,Not latest view,NZ (New Zealand)
Alex,2021-08-20 19:37:25,00:20:03,,Teen Titans Go!: Season 4: BBCYFSHIPBDAY / Thanksgetting (Episode 23),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:21,00:20:21,NZ (New Zealand)
Alex,2021-08-20 19:27:07,00:10:08,,Teen Titans Go!: Season 4: The Self-Indulgent 200th Episode Spectacular!: Part 1 / The Self-Indulgent 200th Episode Spectacular!: Part 2,,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:55,00:20:55,NZ (New Zealand)
Alex,2021-08-20 03:46:35,01:22:10,,Spy Kids,,HiSilicon HiMediaDishSV10 Set Top Box,01:22:11,01:22:11,NZ (New Zealand)
Alex,2021-08-14 20:25:04,00:03:06,,Teen Titans Go!: Season 4: The Self-Indulgent 200th Episode Spectacular!: Part 1 / The Self-Indulgent 200th Episode Spectacular!: Part 2,,Sony CE Sony CE 2014 Core DTV Smart TV,00:10:47,Not latest view,NZ (New Zealand)
Alex,2021-08-14 20:21:00,00:02:48,,Teen Titans Go!: Season 4: The Self-Indulgent 200th Episode Spectacular!: Part 1 / The Self-Indulgent 200th Episode Spectacular!: Part 2,,Sony CE Sony CE 2014 Core DTV Smart TV,00:07:41,Not latest view,NZ (New Zealand)
Alex,2021-08-14 20:13:59,00:04:36,,Teen Titans Go!: Season 4: The Self-Indulgent 200th Episode Spectacular!: Part 1 / The Self-Indulgent 200th Episode Spectacular!: Part 2,,Sony CE Sony CE 2014 Core DTV Smart TV,00:04:54,Not latest view,NZ (New Zealand)
Alex,2021-08-14 19:53:55,00:19:59,,Teen Titans Go!: Season 4: Costume Contest / Demon Prom (Episode 21),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:17,00:20:17,NZ (New Zealand)
Alex,2021-08-14 19:32:59,00:20:49,,Teen Titans Go!: Season 4: The Academy / Throne of Bones (Episode 20),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:07,00:21:07,NZ (New Zealand)
Alex,2021-08-14 19:30:48,00:01:58,,Teen Titans Go!: Season 4: Career Day / TV Knight 2 (Episode 19),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:34,00:20:34,NZ (New Zealand)
Alex,2021-08-13 19:59:55,00:13:32,,Teen Titans Go!: Season 4: Career Day / TV Knight 2 (Episode 19),,Sony CE Sony CE 2014 Core DTV Smart TV,00:18:37,Not latest view,NZ (New Zealand)
Alex,2021-08-13 19:56:39,00:03:07,,Teen Titans Go!: Season 4: Labor Day / Ones and Zeroes (Episode 18),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:32,00:20:32,NZ (New Zealand)
Alex,2021-08-13 19:38:31,00:17:08,,Teen Titans Go!: Season 4: Labor Day / Ones and Zeroes (Episode 18),,Sony CE Sony CE 2014 Core DTV Smart TV,00:17:26,Not latest view,NZ (New Zealand)
Alex,2021-08-13 19:34:14,00:04:07,,Teen Titans Go!: Season 4: Justice League's Next Top Talent Idol Star: Part 1 / Justice League's Next Top Talent Idol Star: Part 2 (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:02,00:21:02,NZ (New Zealand)
Alex,2021-08-13 07:13:21,01:12:42,,Transformers: Age of Extinction,,HiSilicon HiMediaDishSV10 Set Top Box,02:20:45,02:20:45,NZ (New Zealand)
Alex,2021-07-24 20:13:08,00:16:04,,Teen Titans Go!: Season 4: Justice League's Next Top Talent Idol Star: Part 1 / Justice League's Next Top Talent Idol Star: Part 2 (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:16:22,Not latest view,NZ (New Zealand)
Alex,2021-07-24 20:13:08,00:16:38,,Teen Titans Go!: Season 4: Justice League's Next Top Talent Idol Star: Part 1 / Justice League's Next Top Talent Idol Star: Part 2 (Episode 17),,Sony CE Sony CE 2014 Core DTV Smart TV,00:16:56,Not latest view,NZ (New Zealand)
Alex,2021-07-24 20:09:15,00:03:43,,Teen Titans Go!: Season 4: Lication / Classic Titans (Episode 16),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:57,00:20:57,NZ (New Zealand)
Alex,2021-07-24 19:46:12,00:16:57,,Teen Titans Go!: Season 4: Lication / Classic Titans (Episode 16),,Sony CE Sony CE 2014 Core DTV Smart TV,00:17:15,Not latest view,NZ (New Zealand)
Alex,2021-07-24 19:31:38,00:14:19,,Teen Titans Go!: Season 4: Brain Percentages / BL4Z3 (Episode 15),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:10,00:20:10,NZ (New Zealand)
Alex,2021-07-24 07:20:00,01:10:22,,Top Gun,,HiSilicon HiMediaDishSV10 Set Top Box,01:10:22,01:10:22,NZ (New Zealand)
Alex,2021-07-23 20:23:41,00:06:21,,Teen Titans Go!: Season 4: Brain Percentages / BL4Z3 (Episode 15),,Sony CE Sony CE 2014 Core DTV Smart TV,00:06:39,Not latest view,NZ (New Zealand)
Alex,2021-07-23 20:03:33,00:19:57,,Teen Titans Go!: Season 4: Jinxed / Hot Salad Water (Episode 14),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:27,00:21:27,NZ (New Zealand)
Alex,2021-07-23 19:47:00,00:16:13,,Teen Titans Go!: Season 4: Chapter 3: NBTS Special / Chapter 4: NBTS Special (Episode 13),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:08,00:20:08,NZ (New Zealand)
Alex,2021-07-23 19:46:19,00:00:34,,Teen Titans Go!: Season 4: Chapter 3: NBTS Special / Chapter 4: NBTS Special (Episode 13),,Sony CE Sony CE 2014 Core DTV Smart TV,00:00:52,Not latest view,NZ (New Zealand)
Alex,2021-07-23 19:32:53,00:13:09,,Teen Titans Go!: Season 4: Chapter 1: NBTS Special / Chapter 2: NBTS Special (Episode 12),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:24,00:20:24,NZ (New Zealand)
Alex,2021-07-23 19:30:42,00:02:03,,Teen Titans Go!: Season 4: Employee of the Month Redux / Orangins (Episode 11),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:12,00:20:12,NZ (New Zealand)
Alex,2021-07-23 19:29:33,00:00:07,,The Adventures of Sharkboy and Lavagirl,,Sony CE Sony CE 2014 Core DTV Smart TV,01:32:34,01:32:34,NZ (New Zealand)
Alex,2021-07-23 19:28:08,00:00:04,,The Adventures of Sharkboy and Lavagirl,,Sony CE Sony CE 2014 Core DTV Smart TV,01:00:07,Not latest view,NZ (New Zealand)
Alex,2021-07-23 07:21:14,01:08:03,,Transformers: Age of Extinction,,HiSilicon HiMediaDishSV10 Set Top Box,01:08:03,Not latest view,NZ (New Zealand)
Alex,2021-07-23 05:37:42,00:45:17,,Fantastic Mr. Fox,,HiSilicon HiMediaDishSV10 Set Top Box,00:45:17,00:45:17,NZ (New Zealand)
Alex,2021-07-17 20:00:28,00:17:53,,Teen Titans Go!: Season 4: Employee of the Month Redux / Orangins (Episode 11),,Sony CE Sony CE 2014 Core DTV Smart TV,00:18:11,Not latest view,NZ (New Zealand)
Alex,2021-07-17 19:38:37,00:21:33,,Teen Titans Go!: Season 4: The Avogodo / Hand Zombie (Episode 10),,Sony CE Sony CE 2014 Core DTV Smart TV,00:21:26,00:21:26,NZ (New Zealand)
Alex,2021-07-17 19:35:25,00:03:01,,Teen Titans Go!: Season 4: Master Detective / Easter Creeps (Episode 9),,Sony CE Sony CE 2014 Core DTV Smart TV,00:20:40,00:20:40,NZ (New Zealand)
Alex,2021-07-17 07:37:40,00:49:10,,The Adventures of Sharkboy and Lavagirl,,HiSilicon HiMediaDishSV10 Set Top Box,01:00:04,Not latest view,NZ (New Zealand)
